"Time stamp","Value","Events","Comment","User"
"2/10/2025 4:44:19 PM","15.00","","",""
"2/10/2025 4:44:19 PM","","Log was started","",""
"2/10/2025 4:43:39 PM","","Log was stopped","",""
"2/10/2025 4:43:37 PM","","A log value was missed","",""
"2/10/2025 4:05:55 PM","","System clock changed","",""
"2/10/2025 11:33:19 AM","15.00","","",""
"2/10/2025 11:33:14 AM","12.00","","",""
"2/10/2025 11:33:10 AM","10.00","","",""
"2/10/2025 11:32:06 AM","0.00","","",""
"2/10/2025 11:32:06 AM","","Log was started","","admin"
"2/10/2025 11:32:06 AM","","The log configuration was updated","Property changed: Logged variable","admin"
"2/10/2025 11:32:06 AM","","Log was stopped","","admin"
"2/10/2025 11:31:33 AM","","The log is not configured","","admin"
